rank|country|gold|silver|bronze
72|Argentina|0|1|2
69|Armenia|0|2|2
6|Australia|17|7|22
53|Austria|1|1|5
67|Azerbaijan|0|3|4
42|Bahamas|2|0|0
77|Bahrain|0|1|0
45|Belarus|1|3|3
29|Belgium|3|1|3
63|Bermuda|1|0|0
86|Botswana|0|0|1
12|Brazil|7|6|8
30|Bulgaria|3|1|2
86|Burkina Faso|0|0|1
11|Canada|7|6|11
2|China|38|32|18
34|Chinese Taipei|2|4|6
66|Colombia|0|4|1
26|Croatia|3|3|2
14|Cuba|7|3|5
18|Czech Republic|4|4|3
86|C̫te d'Ivoire|0|0|1
25|Denmark|3|4|4
68|Dominican Republic|0|3|2
38|Ecuador|2|1|0
54|Egypt|1|1|4
59|Estonia|1|0|1
56|Ethiopia|1|1|2
59|Fiji|1|0|1
85|Finland|0|0|2
8|France|10|12|11
33|Georgia|2|5|1
9|Germany|10|11|16
86|Ghana|0|0|1
4|Great Britain|22|21|22
36|Greece|2|1|1
86|Grenada|0|0|1
49|Hong Kong|1|2|3
15|Hungary|6|7|7
48|India|1|2|4
55|Indonesia|1|1|3
27|Iran|3|2|2
39|Ireland|2|0|2
39|Israel|2|0|2
10|Italy|10|10|20
21|Jamaica|4|1|4
3|Japan|27|14|17
74|Jordan|0|1|1
83|Kazakhstan|0|0|8
19|Kenya|4|4|2
42|Kosovo|2|0|0
86|Kuwait|0|0|1
70|Kyrgyzstan|0|2|1
59|Latvia|1|0|1
77|Lithuania|0|1|0
74|Malaysia|0|1|1
84|Mexico|0|0|4
86|Moldova|0|0|1
71|Mongolia|0|1|3
63|Morocco|1|0|0
77|Namibia|0|1|0
7|Netherlands|10|12|14
13|New Zealand|7|6|7
74|Nigeria|0|1|1
77|North Macedonia|0|1|0
20|Norway|4|2|2
50|Philippines|1|2|1
17|Poland|4|5|5
56|Portugal|1|1|2
63|Puerto Rico|1|0|0
41|Qatar|2|0|1
5|ROC|20|28|23
46|Romania|1|3|0
72|San Marino|0|1|2
77|Saudi Arabia|0|1|0
28|Serbia|3|1|5
50|Slovakia|1|2|1
31|Slovenia|3|1|1
52|South Africa|1|2|0
16|South Korea|6|4|10
22|Spain|3|8|6
23|Sweden|3|6|0
24|Switzerland|3|4|6
86|Syria|0|0|1
59|Thailand|1|0|1
58|Tunisia|1|1|0
35|Turkey|2|2|9
77|Turkmenistan|0|1|0
36|Uganda|2|1|1
44|Ukraine|1|6|12
1|United States|39|41|33
32|Uzbekistan|3|0|2
46|Venezuela|1|3|0
